,trackName,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,One More Night,0.716,0.821,5,-3.435,0,0.0314,0.0558,0,0.0844,0.618,92.997,audio_features,6cpk00i5TxCqSeqNi2HuIe,spotify:track:6cpk00i5TxCqSeqNi2HuIe,https://api.spotify.com/v1/tracks/6cpk00i5TxCqSeqNi2HuIe,Maroon 5,219547,4
1,In The End,0.556,0.864,3,-5.87,0,0.0584,0.00958,0,0.209,0.4,105.143,audio_features,60a0Rd6pjrkxjPbaKzXjfq,spotify:track:60a0Rd6pjrkxjPbaKzXjfq,https://api.spotify.com/v1/tracks/60a0Rd6pjrkxjPbaKzXjfq,Black Veil Brides,216880,4
2,Basket Case,0.442,0.943,3,-3.205,1,0.0602,0.00293,8.71e-06,0.091,0.781,85.064,audio_features,6L89mwZXSOwYl76YXfX13s,spotify:track:6L89mwZXSOwYl76YXfX13s,https://api.spotify.com/v1/tracks/6L89mwZXSOwYl76YXfX13s,Green Day,181533,4
3,Give Me Novacaine / She's a Rebel,0.312,0.949,9,-3.533,1,0.0784,0.00185,1.78e-05,0.0569,0.65,154.795,audio_features,11I3KKHv7g2pXiuqRDabRA,spotify:track:11I3KKHv7g2pXiuqRDabRA,https://api.spotify.com/v1/tracks/11I3KKHv7g2pXiuqRDabRA,Green Day,326200,4
4,I Knew You Were Trouble.,0.622,0.469,3,-6.798,0,0.0363,0.00454,2.25e-06,0.0335,0.679,77.019,audio_features,6FB3v4YcR57y4tXFcdxI1E,spotify:track:6FB3v4YcR57y4tXFcdxI1E,https://api.spotify.com/v1/tracks/6FB3v4YcR57y4tXFcdxI1E,Taylor Swift,219720,4
5,Tennessee Whiskey,0.392,0.37,9,-10.888,1,0.0298,0.205,0.0096,0.0821,0.512,48.718,audio_features,3fqwjXwUGN6vbzIwvyFMhx,spotify:track:3fqwjXwUGN6vbzIwvyFMhx,https://api.spotify.com/v1/tracks/3fqwjXwUGN6vbzIwvyFMhx,Chris Stapleton,293293,4
6,This Love,0.698,0.882,5,-3.98,0,0.0423,0.0642,0,0.0783,0.758,95.037,audio_features,76aqmXnnJmTslVQXYWTaWM,spotify:track:76aqmXnnJmTslVQXYWTaWM,https://api.spotify.com/v1/tracks/76aqmXnnJmTslVQXYWTaWM,Maroon 5,206800,4
7,American Idiot,0.38,0.988,1,-2.042,1,0.0639,2.64e-05,7.86e-05,0.368,0.769,186.113,audio_features,6nTiIhLmQ3FWhvrGafw2zj,spotify:track:6nTiIhLmQ3FWhvrGafw2zj,https://api.spotify.com/v1/tracks/6nTiIhLmQ3FWhvrGafw2zj,Green Day,176346,4
8,R U Mine?,0.288,0.758,6,-5.692,0,0.0371,0.00616,0,0.303,0.619,97.094,audio_features,2AT8iROs4FQueDv2c8q2KE,spotify:track:2AT8iROs4FQueDv2c8q2KE,https://api.spotify.com/v1/tracks/2AT8iROs4FQueDv2c8q2KE,Arctic Monkeys,201726,4
9,Save Your Tears,0.68,0.826,0,-5.487,1,0.0309,0.0212,1.24e-05,0.543,0.644,118.051,audio_features,5QO79kh1waicV47BqGRL3g,spotify:track:5QO79kh1waicV47BqGRL3g,https://api.spotify.com/v1/tracks/5QO79kh1waicV47BqGRL3g,The Weeknd,215627,4
10,Touch,0.778,0.534,0,-13.237,0,0.143,0.14,0,0.127,0.39,107.968,audio_features,2410jRpRvhDBL9CYcHqhLD,spotify:track:2410jRpRvhDBL9CYcHqhLD,https://api.spotify.com/v1/tracks/2410jRpRvhDBL9CYcHqhLD,Little Mix,111111,4
11,Joan of Arc,0.429,0.272,7,-16.095,1,0.0314,0.745,0.87,0.103,0.0531,90.785,audio_features,2DrrxuNOhnpqJXLH36eR1S,spotify:track:2DrrxuNOhnpqJXLH36eR1S,https://api.spotify.com/v1/tracks/2DrrxuNOhnpqJXLH36eR1S,Little Mix,178260,4
12,In Your Eyes,0.667,0.719,7,-5.371,0,0.0346,0.00285,8.1e-05,0.0736,0.717,100.021,audio_features,7szuecWAPwGoV1e5vGu8tl,spotify:track:7szuecWAPwGoV1e5vGu8tl,https://api.spotify.com/v1/tracks/7szuecWAPwGoV1e5vGu8tl,The Weeknd,237520,4
13,Shout Out to My Ex,0.773,0.747,5,-4.061,1,0.0889,0.0239,8.23e-06,0.11,0.8,126.014,audio_features,1pwo8l3Ko7idwaz4LVUEC4,spotify:track:1pwo8l3Ko7idwaz4LVUEC4,https://api.spotify.com/v1/tracks/1pwo8l3Ko7idwaz4LVUEC4,Little Mix,246240,4
14,Beautiful Day,0.536,0.928,11,-6.492,0,0.0589,0.0154,0.00134,0.2,0.389,136.258,audio_features,0gzqZ9d1jIKo9psEIthwXe,spotify:track:0gzqZ9d1jIKo9psEIthwXe,https://api.spotify.com/v1/tracks/0gzqZ9d1jIKo9psEIthwXe,U2,248400,4
15,Blinding Lights,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,audio_features,0VjIjW4GlUZAMYd2vXMi3b,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,https://api.spotify.com/v1/tracks/0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,200040,4
